title,link,bias
Tourists tricked by fake Royal Christmas market,https://ground.news/article/tourists-tricked-by-fake-royal-christmas-market,48% of the sources are Center
Another Rally for Alphabet Leads the US Stock Market Higher,https://ground.news/article/s-and-p-500-futures-jump-as-ai-trade-attempts-comeback-led-by-alphabet-live-updates,79% of the sources are Center
iOS 27 Could Mark Apple’s Biggest Software Revamp as It Builds New AI to Challenge ChatGPT: Report,https://ground.news/article/apple-to-focus-on-quality-and-underlying-performance-with-ios-27-next-year-report,"38% of the sources lean Left,37% of the sources are Center"
Lutnick Family Firms Profit from Data Center Deals He Promotes,https://ground.news/article/howard-lutnicks-family-business-is-cashing-in-on-data-center-deals,63% of the sources lean Left
"Amazon pledges up to $50 billion to expand AI, supercomputing for US government",https://ground.news/article/bb04df7e-9aac-4b46-b5ae-5dde5882695a,"50% of the sources are Center,50% of the sources lean Right"
Hydro One partners with First Nations to build new priority transmission line in Ontario,https://ground.news/article/hydro-one-partners-with-first-nations-to-build-new-priority-transmission-line-in-ontario,"50% of the sources lean Left,50% of the sources are Center"
"Deutsche Bank sees S&P 500 rising to 8,000 by end of 2026",https://ground.news/article/deutsche-bank-sees-s-and-p-500-rising-to-8-000-by-end-of-2026,100% of the sources are Center
Amy Redford Doesn't Want To See Your AI Tributes to Her Dad,https://ground.news/article/for-robert-redfords-daughter-ia-tributes-make-her-mourning-even-more-difficult,100% of the sources lean Left
Pennsylvania utility regulators propose special treatment for data centers,https://ground.news/article/pennsylvania-utility-regulators-propose-special-treatment-for-data-centers_f4a5cd,60% of the sources are Center
Iberdrola strengthens commitment to Brazil as it seeks 100% control of Neoenergia in €1 billion offer,https://ground.news/article/iberdrola-strengthens-commitment-to-brazil-as-it-seeks-100-control-of-neoenergia-in-1-billion-offer_c9bb72,"50% of the sources lean Left,"
"Samsung Galaxy S26 Series Could Feature Perplexity AI Alongside Bixby For More Complex Tasks, Tipster Claims",https://ground.news/article/samsung-galaxy-s26-series-could-feature-perplexity-ai-alongside-bixby-for-more-complex-tasks-tipster-claims_9a8964,
UN rights chief warns over generative AI,https://ground.news/article/un-rights-chief-warns-over-generative-ai,75% of the sources are Center
Slop of the pops? Macquarie Dictionary names its word of the year,https://ground.news/article/slop-of-the-pops-macquarie-dictionary-names-its-word-of-the-year_1df6fc,75% of the sources lean Left
"Cybercriminals Speed Up Tactics as AI-Driven Attacks, Ransomware Alliances, and Rapid Exploitation Reshape Threat Landscape",https://ground.news/article/intersec-2026-to-focus-on-ai-risk-governance-and-cybersecurity-strategy,
"Fed's Waller Calls For December Cut, Then Meeting-By-Meeting",https://ground.news/article/stock-market-today-dow-jones-s-and-p-500-futures-rise-as-fed-hints-at-possibility-of-december-cut-pony-ai-alphabet-zoom-in-focus-spdr-s-and-p-5,100% of the sources are Center
NATO and Google Cloud Sign Multi-Million Dollar Deal for AI-Enabled Sovereign Cloud,https://ground.news/article/nato-and-google-cloud-sign-multi-million-dollar-deal-for-ai-enabled-sovereign-cloud_aa592f,100% of the sources are Center
Rakovina Therapeutics Inc. Announces Presentation of Second Abstract at the 2025 Society for Neuro-Oncology Annual Meeting,https://ground.news/article/rakovina-therapeutics-inc-announces-presentation-of-second-abstract-at-the-2025-society-for-neuro-oncology-annual-meeting_0e5000,80% of the sources lean Left
AI Redefines Capital: The Rise of Agentic Economic Actors,https://ground.news/article/ai-redefines-capital-the-rise-of-agentic-economic-actors,
Another Rally for Alphabet Leads the US Stock Market Higher,https://ground.news/article/s-and-p-500-futures-jump-as-ai-trade-attempts-comeback-led-by-alphabet-live-updates,79% of the sources are Center
New Offshore Drilling Plan Gets Bipartisan Pushback,https://ground.news/article/new-offshore-drilling-plan-gets-bipartisan-pushback,75% of the sources are Center
DeepMind Deepens Push Into Robotics,https://ground.news/article/claim-against-figure-ai-ex-security-chief-warns-that-humanoid-robots-could-kill-us,100% of the sources lean Left
AI Has Exposed the Illusion of Work,https://ground.news/article/money-talks-with-simon-angelo-the-ai-job-squeeze,100% of the sources lean Left
Lenovo Stockpiles PC Memory Amid AI Demand,https://ground.news/article/ram-memory-is-300-more-face-and-the-guilt-is-artificial-intelligence,100% of the sources lean Right
ChatGPT told them they were special — their families say it led to tragedy,https://ground.news/article/chatgpt-told-them-they-were-special-their-families-say-it-led-to-tragedy,"50% of the sources lean Left,"
Why some people are treating ChatGPT like a God – and what that means for the future of faith,https://ground.news/article/why-some-people-are-treating-chatgpt-like-a-god-and-what-that-means-for-the-future-of-faith,67% of the sources lean Right
A Chilling Proportion of Teens Now Prefer Talking to AI Over a Real Person,https://ground.news/article/a-chilling-proportion-of-teens-now-prefer-talking-to-ai-over-a-real-person,100% of the sources lean Left
Putin Confirms New National AI Initiative with LLMs and AI Tech on the Way,https://ground.news/article/did-an-ai-war-just-get-one-step-closer-putin-confirms-russia-is-planning-its-own-national-ai-taskforce,100% of the sources are Center
Want to Get More Money From Data Centers,https://ground.news/article/want-to-get-more-money-from-data-centers,
‘Think Before You Click’ Black Friday Advice From Humberside Police,https://ground.news/article/think-before-you-click-safety-advice-from-humberside-police-ahead-of-black-friday-and-cyber-monday-sales-grimsby-live,75% of the sources are Center
Some Kentuckians Say the Cost of Thanksgiving Is Too High,https://ground.news/article/more-people-are-skipping-thanksgiving-dinner-at-home-restaurant-managers-say,100% of the sources are Center
College Students Furious When Their Course Is Taught by AI Instead of a Professor,https://ground.news/article/college-students-furious-when-their-course-is-taught-by-ai-instead-of-a-professor,"50% of the sources lean Left,50% of the sources lean Right"
iOS 27 Could Mark Apple’s Biggest Software Revamp as It Builds New AI to Challenge ChatGPT: Report,https://ground.news/article/apple-to-focus-on-quality-and-underlying-performance-with-ios-27-next-year-report,"38% of the sources lean Left,"
Nothing OS 4.0 Debuts Android 16 on Phone 3 with AI and Glyph Upgrades,https://ground.news/article/nothing-os-40-has-arrived-what-brings-you-back,100% of the sources lean Right
"Harmonizing AI innovation with cost, risk & ROI",https://ground.news/article/harmonizing-ai-innovation-with-cost-risk-and-roi,100% of the sources are Center
"Mashable: Grokipedia Sourcing Info From the Internet’s Biggest Neo-Nazi Forum, Researchers Say",https://ground.news/article/grok-the-ai-of-elon-musk-in-torment-after-anti-semitic-remarks,100% of the sources are Center
New partnership aims to unlock potential of AI to help charities,https://ground.news/article/new-partnership-aims-to-unlock-potential-of-ai-to-help-charities,100% of the sources are Center
MAGA Movement Looking 'a Little Sickly' as Infighting Splits the Right-Wing: Analysis,https://ground.news/article/majorie-taylor-greens-approach-is-the-first-challenge-with-someone-who-grew-up-in-the-maga-movement,
"Governments must tackle job concerns amid global AI excitement, investments: PM Wong",https://ground.news/article/governments-must-tackle-job-concerns-amid-global-ai-excitement-investments-pm-wong,50% of the sources are Center
"""You Can Buy Votes for 20,000 in the Morning, and 70,000 in the Evening"" - Election Fraud for the Sake of Democracy",https://ground.news/article/you-can-buy-votes-for-20-000-in-the-morning-and-70-000-in-the-evening-election-fraud-for-the-sake-of-democracy,
Stocks Rise as US Rate Hopes Soothe Nerves After Torrid Week,https://ground.news/article/week-ahead-will-renewed-speculation-of-fed-cut-next-month-cap-the-greenback,"45% of the sources are Center,"
Napster Said It Raised $3 Billion From A Mystery Investor. Now The ‘Investor’ And ‘Money’ Are Gone,https://ground.news/article/napster-said-it-raised-3-billion-from-a-mystery-investor-now-the-investor-and-money-is-gone,100% of the sources are Center
Saudi Foreign Minister Calls for Fair Access to Critical Minerals and Responsible AI at G20 Summit,https://ground.news/article/g20-lula-defends-sovereign-government-in-critical-minerals-and-ia-young-pan,"50% of the sources lean Left,"
Need Global Compact on AI to Prevent Its Misuse: PM Modi at G20,https://ground.news/article/ai-must-translate-into-global-good-pm-modi,"50% of the sources lean Left,"
"7 key cross-asset calls for 2026; AI, EM, bonds & more",https://ground.news/article/7-key-cross-asset-calls-for-2026-ai-em-bonds-and-more,100% of the sources lean Right
"Murderers, Paedophiles, Drug traffickers... These Are the Profiles of the 'Most Wanted' Criminals in Spain",https://ground.news/article/thessaloniki-handcuffs-on-fugitive-for-prominent-drug-trafficking,100% of the sources lean Right
"First look at 2026-27 budget: Schools, community colleges are fine",https://ground.news/article/first-look-at-2026-27-budget-schools-community-colleges-are-fine,100% of the sources are Center
"5 Forces Sinking Stocks: AI Capex, Fed Doubts, Recession Risk",https://ground.news/article/analysis-investors-eye-holiday-season-turbulence-amid-ai-and-rate-cut-doubts,100% of the sources are Center
India Advocates for Human-Centered Technologies,https://ground.news/article/artificial-intelligence-is-a-motor-for-collective-well-being,"50% of the sources lean Left,"
"Japan Woman Marries AI Partner, Wears Augmented Reality Glasses for Ring Exchange",https://ground.news/article/after-a-breakup-a-japanese-woman-marries-an-avatar-she-created-on-chatgpt,100% of the sources are Center
"""It’ll Be Like Playing a Video Game"": Elon Musk Predicts AI and Robotics Could Make Work Optional and Money Less Valuable Within 20 Years",https://ground.news/article/elon-musk-shows-his-sympathy-for-ai-and-affirms-that-the-work-will-be-optional-in-the-future,100% of the sources lean Left
"Florentino Draws the Line with Barcelona: ""Who Is Going to Forget the Negreira Case?""",https://ground.news/article/florentino-attacks-barca-they-paid-more-than-eight-million-to-negreira,"34% of the sources lean Left,"
Globe Editorial: Ottawa Shouldn’t Stake a Direct Claim on Critical Minerals,https://ground.news/article/turkish-president-attends-g20-session-on-critical-minerals-ai,"50% of the sources are Center,50% of the sources lean Right"
Kingdee is ranked in IDC's Asia-Pacific AI-ERP MarketScape,https://ground.news/article/kingdee-is-ranked-in-idcs-asia-pacific-ai-erp-marketscape,100% of the sources are Center
"As Google Eyes Exponential Surge in Serving Capacity, Analyst Says We're Entering 'Stage Two of AI' Where Bottlenecks Are Physical Constraints",https://ground.news/article/as-google-eyes-exponential-surge-in-serving-capacity-analyst-says-were-entering-stage-two-of-ai-where-bottlenecks-are-physical-constraints,67% of the sources lean Left
What OpenAI Did when ChatGPT Users Lost Touch with Reality,https://ground.news/article/how-openais-changes-sent-some-users-spiraling-software-unplugged,100% of the sources lean Right
"Attack On Cardano Founder Leads To Network Halt, What Really Happened?",https://ground.news/article/what-happened-after-cardano-was-taken-down-by-a-kid-mapping-investor-confidence,Targeted AdvertisingPersonalizationAnalytics
